Company Name,Ticker
Carborundum Universal,CARBORUNIV.NS
CARE Ratings,CARERATING.NS
Carraro India,CARRARO.NS
Cartrade Tech,CARTRADE.NS
CARYSIL,CARYSIL.NS
Castrol India,CASTROLIND.NS
AvenuesAI,CCAVENUE.NS
Consolidated Construction Consortium,CCCL.NS
Country Club Hospitality & Holidays,CCHHL.NS
CCL Products (India),CCL.NS
Central Depository Services (India),CDSL.NS
CEAT,CEATLTD.NS
Ceigall India,CEIGALL.NS
Ceinsys Tech,CEINSYS.NS
Celebrity Fashions,CELEBRITY.NS
Cello World,CELLO.NS
Cemindia Projects,CEMPRO.NS
Century Enka,CENTENKA.NS
Century Extrusions,CENTEXT.NS
Central Bank of India,CENTRALBK.NS
Centrum Capital,CENTRUM.NS
Centum Electronics,CENTUM.NS
Century Plyboards (India),CENTURYPLY.NS
Cera Sanitaryware,CERA.NS
Cerebra Integrated Technologies,CEREBRAINT.NS
CESC,CESC.NS
Concord Enviro Systems,CEWATER.NS
Capri Global Capital,CGCL.NS
CG Power and Industrial Solutions,CGPOWER.NS
Chalet Hotels,CHALET.NS
Chambal Fertilizers & Chemicals,CHAMBLFERT.NS
Chembond Material Technologies,CHEMBOND.NS
Chembond Chemicals,CHEMBONDCH.NS
Chemcon Speciality Chemicals,CHEMCON.NS
Chemfab Alkalis,CHEMFAB.NS
Chemplast Sanmar,CHEMPLASTS.NS
Chennai Petroleum Corporation,CHENNPETRO.NS
Cheviot Company,CHEVIOT.NS
Choice International,CHOICEIN.NS
Cholamandalam Investment and Finance Company,CHOLAFIN.NS
Cholamandalam Financial Holdings,CHOLAHLDNG.NS
CIE Automotive India,CIEINDIA.NS
Capital India Finance,CIFL.NS
Cineline India,CINELINE.NS
Cinevista,CINEVISTA.NS
Cipla,CIPLA.NS
CLC Industries,CLCIND.NS
Clean Science and Technology,CLEAN.NS
Clean Max Enviro Energy Solutions,CLEANMAX.NS
CL Educate,CLEDUCATE.NS
Chaman Lal Setia Exports,CLSEL.NS
Central Mine Planning & Design Institute,CMPDI.NS
CMS Info Systems,CMSINFO.NS
Creative Newtech,CNL.NS
Coal India,COALINDIA.NS
Coastal Corporation,COASTCORP.NS
Cochin Shipyard,COCHINSHIP.NS
John Cockerill India,COCKERILL.NS
Coffee Day Enterprises,COFFEEDAY.NS
Coforge,COFORGE.NS
Cohance Lifesciences,COHANCE.NS
Colgate Palmolive (India),COLPAL.NS
Comfort Intech,COMFINTE.NS
Compuage Infocom,COMPINFO.NS
Compucom Software,COMPUSOFT.NS
Commercial Syn Bags,COMSYN.NS
Container Corporation of India,CONCOR.NS
Concord Biotech,CONCORDBIO.NS
Confidence Petroleum India,CONFIPET.NS
Consolidated Finvest & Holdings,CONSOFINVT.NS
Control Print,CONTROLPR.NS
Coral India Finance & Housing,CORALFINAC.NS
Cords Cable Industries,CORDSCABLE.NS
Coromandel International,COROMANDEL.NS
CORONA Remedies,CORONA.NS
COSMO FIRST,COSMOFIRST.NS
Country Condo's,COUNCODOS.NS
CP Capital,CPCAP.NS
Career Point Edutech,CPEDU.NS
Aditya Infotech,CPPLUS.NS
Craftsman Automation,CRAFTSMAN.NS
Canara Robeco Asset Management Company,CRAMC.NS
Creative Eye,CREATIVEYE.NS
CREDITACCESS GRAMEEN,CREDITACC.NS
Crest Ventures,CREST.NS
CRISIL,CRISIL.NS
Crizac,CRIZAC.NS
Crompton Greaves Consumer Electricals,CROMPTON.NS
Crown Lifters,CROWN.NS
CSB Bank,CSBBANK.NS
CSL Finance,CSLFINANCE.NS
Cambridge Technology Enterprises,CTE.NS
City Union Bank,CUB.NS
Cubex Tubings,CUBEXTUB.NS
Cummins India,CUMMINSIND.NS
Cupid,CUPID.NS
Cura Technologies,CURAA.NS
Cyber Media (India),CYBERMEDIA.NS
Cybertech Systems And Software,CYBERTECH.NS
Cyient,CYIENT.NS
Cyient DLM,CYIENTDLM.NS
Dabur India,DABUR.NS
Dai-Ichi Karkaria,DAICHI.NS
Dalmia Bharat,DALBHARAT.NS
Dalmia Bharat Sugar and Industries,DALMIASUG.NS
Dam Capital Advisors,DAMCAPITAL.NS
Damodar Industries,DAMODARIND.NS
Dangee Dums,DANGEE.NS
Datamatics Global Services,DATAMATICS.NS
Data Patterns (India),DATAPATTNS.NS
Davangere Sugar Company,DAVANGERE.NS
D.B.Corp,DBCORP.NS
Deepak Builders & Engineers India,DBEIL.NS
Dilip Buildcon,DBL.NS
Dhampur Bio Organics,DBOL.NS
Valor Estate,DBREALTY.NS
DB (International) Stock Brokers,DBSTOCKBRO.NS
Dishman Carbogen Amcis,DCAL.NS
DCB Bank,DCBBANK.NS
Dc Infotech And Communication,DCI.NS
DCM,DCM.NS
DCM Financial Services,DCMFINSERV.NS
DCM Nouvelle,DCMNVL.NS
DCM Shriram,DCMSHRIRAM.NS
DCM Shriram International,DCMSIL.NS
DCM Shriram Industries,DCMSRIND.NS
DCW,DCW.NS
DCX Systems,DCXINDIA.NS
Ddev Plastiks Industries,DDEVPLSTIK.NS
Deccan Cements,DECCANCE.NS
Deccan Gold Mines,DECNGOLD.NS
DEE Development Engineers,DEEDEV.NS
Deepak Fertilizers and Petrochemicals Corporation,DEEPAKFERT.NS
Deepak Nitrite,DEEPAKNTR.NS
Deep Industries,DEEPINDS.NS
Delhivery,DELHIVERY.NS
DELPHI WORLD MONEY,DELPHIFX.NS
Delta Corp,DELTACORP.NS
Delta Manufacturing,DELTAMAGNT.NS
Den Networks,DEN.NS
De Nora India,DENORA.NS
Denta Water and Infra Solutions,DENTA.NS
Dev Information Technology,DEVIT.NS
Dev Accelerator,DEVX.NS
Devyani International,DEVYANI.NS
Digicontent,DGCONTENT.NS
Dhampur Sugar Mills,DHAMPURSUG.NS
Dhanlaxmi Bank,DHANBANK.NS
Dhanuka Agritech,DHANUKA.NS
DHARAN INFRA-EPC,DHARAN.NS
Dharmaj Crop Guard,DHARMAJ.NS
Dhruv Consultancy Services,DHRUV.NS
Dhunseri Investments,DHUNINV.NS
Diamond Power Infrastructure,DIACABS.NS
Diamines & Chemicals,DIAMINESQ.NS
Prataap Snacks,DIAMONDYD.NS
DIC India,DICIND.NS
Diffusion Engineers,DIFFNKG.NS
Digidrive Distributors,DIGIDRIVE.NS
DiGiSPICE Technologies,DIGISPICE.NS
Digitide Solutions,DIGITIDE.NS
Digjam,DIGJAMLMTD.NS
Disa India,DISAQ.NS
Dish TV India,DISHTV.NS
Divgi Torqtransfer Systems,DIVGIITTS.NS
Divi's Laboratories,DIVISLAB.NS
Dixon Technologies (India),DIXON.NS
DJ Mediaprint & Logistics,DJML.NS
DLF,DLF.NS
D-Link (India),DLINKINDIA.NS
Avenue Supermarts,DMART.NS
DMCC SPECIALITY CHEMICALS,DMCC.NS
Diligent Media Corporation,DNAMEDIA.NS
Dodla Dairy,DODLA.NS
Dolat Algotech,DOLATALGO.NS
Dollar Industries,DOLLAR.NS
Dolphin Offshore Enterprises (India),DOLPHIN.NS
DOMS Industries,DOMS.NS
Donear Industries,DONEAR.NS
D. P. Abhushan,DPABHUSHAN.NS
DPSC,DPSCLTD.NS
D P Wires,DPWIRES.NS
Dr Agarwals Eye Hospital,DRAGARWQ.NS
DRC Systems India,DRCSYSTEMS.NS
Dreamfolks Services,DREAMFOLKS.NS
Dredging Corporation of India,DREDGECORP.NS
Dr. Reddy's Laboratories,DRREDDY.NS
DCM Shriram Fine Chemicals,DSFCL.NS
Dynacons Systems & Solutions,DSSL.NS
Dhunseri Tea & Industries,DTIL.NS
Ducon Infratechnologies,DUCON.NS
Dhunseri Ventures,DVL.NS
Dwarikesh Sugar Industries,DWARKESH.NS
Dynamic Cables,DYCL.NS
Dynamatic Technologies,DYNAMATECH.NS
Dynemic Products,DYNPRO.NS
E2E Networks,E2E.NS
Easy Trip Planners,EASEMYTRIP.NS
Eastern Silk Industries,EASTSILK.NS
GNG Electronics,EBGNG.NS
eClerx Services,ECLERX.NS
Ecos (India) Mobility & Hospitality,ECOSMOBLTY.NS
Edelweiss Financial Services,EDELWEISS.NS
EFC (I),EFCIL.NS
Eicher Motors,EICHERMOT.NS
EID Parry India,EIDPARRY.NS
Enviro Infra Engineers,EIEL.NS
Euro India Fresh Foods,EIFFL.NS
EIH Associated Hotels,EIHAHOTELS.NS
EIH,EIHOTEL.NS
Eimco Elecon (India),EIMCOELECO.NS
Everest Kanto Cylinder,EKC.NS
Elantas Beck India,ELANTAS.NS
EL CID Investments,ELCIDIN.NS
Eldeco Housing And Industries,ELDEHSG.NS
Elecon Engineering Company,ELECON.NS
Electrosteel Castings,ELECTCAST.NS
Electrotherm (India),ELECTHERM.NS
Elgi Equipments,ELGIEQUIP.NS
Elgi Rubber Company,ELGIRUBCO.NS
Elin Electronics,ELIN.NS
Elitecon International,ELITECON.NS
Ellenbarrie Industrial Gases,ELLEN.NS
Elpro International,ELPROINTL.NS
Emami,EMAMILTD.NS
Emami Paper Mills,EMAMIPAP.NS
Emami Realty,EMAMIREAL.NS
Embassy Developments,EMBDL.NS
Emcure Pharmaceuticals,EMCURE.NS
Electronics Mart India,EMIL.NS
Emkay Global Financial Services,EMKAY.NS
Emmbi Industries,EMMBI.NS
Emmvee Photovoltaic Power,EMMVEE.NS
Empower India,EMPOWER.NS
EMS,EMSLIMITED.NS
eMudhra,EMUDHRA.NS
Endurance Technologies,ENDURANCE.NS
Energy Development Company,ENERGYDEV.NS
Engineers India,ENGINERSIN.NS
Entertainment Network (India),ENIL.NS
Siemens Energy India,ENRIN.NS
Entero Healthcare Solutions,ENTERO.NS
EPACK Durable,EPACK.NS
EPack Prefab Technologies,EPACKPEB.NS
Epigral,EPIGRAL.NS
EPL,EPL.NS
Equippp Social Impact Technologies,EQUIPPP.NS
Equitas Small Finance Bank,EQUITASBNK.NS
Eris Lifesciences,ERIS.NS
Esab India,ESABINDIA.NS
ESAF Small Finance Bank,ESAFSFB.NS
Escorts Kubota,ESCORTS.NS
Essar Shipping,ESSARSHPNG.NS
Integra Essentia Limited-RE,ESSEN-RE3.NS
Integra Essentia,ESSENTIA.NS
Ester Industries,ESTER.NS
ETERNAL,ETERNAL.NS
Ethos,ETHOSLTD.NS
Eureka Forbes,EUREKAFORB.NS
Euro Panel Products,EUROBOND.NS
Euro Pratik Sales,EUROPRATIK.NS
Eurotex Industries and Exports,EUROTEXIND.NS
Eveready Industries India,EVEREADY.NS
Everest Industries,EVERESTIND.NS
Excel Industries,EXCELINDUS.NS
Excelsoft Technologies,EXCELSOFT.NS
Exicom Tele-Systems,EXICOM.NS
Exide Industries,EXIDEIND.NS
Expleo Solutions,EXPLEOSOL.NS
Exxaro Tiles,EXXARO.NS
Fabtech Technologies,FABTECH.NS
Fertilizers and Chemicals Travancore,FACT.NS
Fairchem Organics,FAIRCHEMOR.NS
Faze Three,FAZE3Q.NS
Fineotex Chemical,FCL.NS
FCS Software Solutions,FCSSOFT.NS
FDC,FDC.NS
Fedders Holding,FEDDERSHOL.NS
The Federal Bank,FEDERALBNK.NS
Fedbank Financial Services,FEDFINA.NS
Future Enterprises,FEL.NS
Future Enterprises,FELDVR.NS
Fermenta Biotech,FERMENTA.NS
Fiberweb (India),FIBERWEB.NS
Fiem Industries,FIEMIND.NS
Filatex India,FILATEX.NS
Filatex Fashions,FILATFASH.NS
Finolex Cables,FINCABLES.NS
Fine Organic Industries,FINEORG.NS
Finkurve Financial Services,FINKURVE.NS
Fino Payments Bank,FINOPB.NS
Finolex Industries,FINPIPE.NS
Brainbees Solutions,FIRSTCRY.NS
Fischer Medical Ventures,FISCHER.NS
Five-Star Business Finance,FIVESTAR.NS
Flair Writing Industries,FLAIR.NS
Flexituff Ventures International,FLEXITUFF.NS
Future Lifestyle Fashions,FLFL.NS
Gujarat Fluorochemicals,FLUOROCHEM.NS
Federal-Mogul Goetze (India) Limited.,FMGOETZE.NS
Future Market Networks,FMNL.NS
Focus Lighting and Fixtures,FOCUS.NS
Foods & Inns,FOODSIN.NS
FORCE MOTORS,FORCEMOT.NS
